ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
31,Existing Customer,48,M,2,Uneducated,Single,$40K - $60K,Blue,44,3,1,2,9673,0,9673,0.655,3541,87,0.851,0
32,Attrited Customer,56,F,2,College,Single,Less than $40K,Blue,52,3,5,1,3639,2178,1461,0.451,1865,42,0.5,0.599
33,Attrited Customer,54,F,2,Uneducated,Married,Less than $40K,Blue,50,3,6,3,2247,0,2247,0.641,2615,37,0.423,0
34,Existing Customer,56,M,3,High School,Divorced,$80K - $120K,Blue,52,2,3,1,8111,2051,6060,0.999,3719,69,0.643,0.253
35,Attrited Customer,48,M,4,College,Married,$80K - $120K,Blue,44,2,3,3,9524,1449,8075,0.559,7527,58,0.657,0.152
36,Existing Customer,48,M,1,Graduate,Married,$80K - $120K,Blue,44,6,1,3,2916,0,2916,0.792,4336,72,0.714,0
37,Existing Customer,41,F,4,Graduate,Divorced,Less than $40K,Blue,37,5,1,4,7492,1399,6093,0.533,3668,67,0.675,0.187
38,Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,40,6,2,2,2232,2002,230,1.107,3803,68,0.511,0.897
39,Existing Customer,47,F,3,High School,Married,Unknown,Blue,43,4,3,2,13473,1335,12138,0.814,1593,46,0.484,0.099
40,Existing Customer,38,M,3,Graduate,Single,Less than $40K,Blue,34,5,3,2,3094,1317,1777,0.957,3607,81,0.884,0.426
41,Existing Customer,46,M,3,High School,Single,$80K - $120K,Gold,42,3,2,2,34516,2113,32403,0.618,1362,31,1.214,0.061
42,Existing Customer,49,F,4,Unknown,Single,Less than $40K,Blue,45,5,3,2,9431,1785,7646,0.603,14261,99,0.65,0.189
43,Existing Customer,53,M,4,High School,Single,$60K - $80K,Blue,49,5,1,2,3858,0,3858,0.67,4472,92,0.614,0
44,Attrited Customer,45,M,1,Graduate,Single,$60K - $80K,Blue,41,2,3,2,9904,2513,7391,0,1152,28,0,0.254
45,Existing Customer,46,M,4,Post-Graduate,Married,$60K - $80K,Blue,42,6,2,1,11634,0,11634,0.52,4447,74,0.574,0
46,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018
47,Existing Customer,55,M,3,High School,Single,$120K +,Blue,51,3,1,3,34516,1266,33250,0.846,1161,26,0.368,0.037
48,Existing Customer,49,F,3,High School,Married,Less than $40K,Blue,45,3,3,2,1438.3,726,712.3,0.657,5208,93,0.755,0.505
49,Existing Customer,42,F,3,Uneducated,Single,Less than $40K,Blue,38,4,1,4,1538,868,670,0.828,5228,61,0.694,0.564
50,Existing Customer,58,M,2,High School,Single,$80K - $120K,Blue,54,6,3,2,22981,1696,21285,0.466,4192,66,0.571,0.074
51,Existing Customer,43,M,3,Graduate,Single,$40K - $60K,Blue,39,5,3,5,8513,1042,7471,0.702,2015,37,0.682,0.122
52,Attrited Customer,44,F,0,College,Married,Less than $40K,Blue,40,5,4,2,7499,1083,6416,0.716,2478,45,0.667,0.144
53,Existing Customer,47,M,2,Graduate,Unknown,$80K - $120K,Blue,43,3,2,2,2158,1170,988,0.73,4421,89,0.679,0.542
54,Existing Customer,60,F,0,High School,Single,$40K - $60K,Blue,56,3,5,2,2213,829,1384,0.639,4210,84,0.714,0.375
55,Existing Customer,57,F,3,High School,Single,Less than $40K,Blue,53,1,3,2,3029,2214,815,0.7,4750,89,0.978,0.731
56,Existing Customer,40,M,3,Graduate,Married,$60K - $80K,Blue,36,6,2,2,15008,0,15008,0.784,3943,85,0.771,0
57,Existing Customer,43,F,3,Uneducated,Married,Less than $40K,Blue,39,4,1,2,4175,2517,1658,0.551,1520,36,0.44,0.603
58,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106
59,Existing Customer,58,M,3,College,Married,$120K +,Blue,54,5,1,4,3452,2088,1364,0.768,1008,21,0.4,0.605
60,Existing Customer,42,M,3,Graduate,Unknown,$80K - $120K,Blue,38,6,1,1,16105,724,15381,0.949,4631,76,0.767,0.045
61,Attrited Customer,45,F,3,Graduate,Divorced,$40K - $60K,Blue,41,1,3,3,1477,0,1477,0.768,2214,43,0.654,0
62,Existing Customer,55,M,3,Graduate,Single,$80K - $120K,Blue,51,6,2,3,17198,0,17198,0.803,4042,62,0.722,0
63,Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,46,2,3,2,5965,622,5343,0.728,4637,91,0.655,0.104
64,Existing Customer,54,F,3,Unknown,Married,Less than $40K,Blue,50,6,2,2,3796,2396,1400,0.569,2069,54,0.742,0.631
65,Existing Customer,42,F,4,Uneducated,Divorced,Unknown,Blue,38,6,3,2,10039,1600,8439,0.7,4685,76,0.9,0.159
66,Existing Customer,53,M,3,Graduate,Unknown,$80K - $120K,Blue,49,5,2,1,4778,1869,2909,0.743,5489,74,0.805,0.391
67,Existing Customer,52,M,1,College,Married,$80K - $120K,Blue,48,4,3,3,2066,1601,465,0.742,1578,41,0.414,0.775
68,Existing Customer,48,F,2,College,Married,Less than $40K,Blue,44,5,1,3,4570,2439,2131,0.693,1520,34,0.7,0.534
69,Existing Customer,44,M,1,College,Single,$40K - $60K,Blue,40,6,1,2,4274,1680,2594,0.78,4820,60,0.765,0.393
70,Attrited Customer,42,M,3,Graduate,Married,Less than $40K,Blue,38,2,3,3,6967,1767,5200,0.54,1919,38,0.52,0.254
71,Existing Customer,57,M,1,High School,Single,$80K - $120K,Blue,53,4,1,3,7976,585,7391,0.925,4082,74,0.682,0.073
72,Existing Customer,42,M,4,Graduate,Single,$80K - $120K,Silver,38,2,1,3,34516,2273,32243,0.86,8502,103,0.717,0.066
73,Attrited Customer,46,F,1,High School,Married,Less than $40K,Blue,42,5,4,1,1438.3,0,1438.3,0.637,1843,44,0.63,0
74,Existing Customer,35,F,4,College,Married,Less than $40K,Blue,31,3,3,4,2933,1011,1922,0.814,5089,71,0.868,0.345
75,Existing Customer,47,F,4,Unknown,Married,$40K - $60K,Blue,43,4,3,4,4798,1017,3781,0.458,4225,79,0.681,0.212
76,Existing Customer,40,M,4,Unknown,Married,$60K - $80K,Blue,36,3,2,3,22956,1407,21549,0.709,5554,64,0.6,0.061
77,Existing Customer,36,F,0,Uneducated,Divorced,Less than $40K,Blue,32,3,2,3,3687,1655,2032,0.742,2448,63,0.5,0.449
78,Existing Customer,39,F,2,College,Single,Unknown,Blue,35,6,2,2,10600,598,10002,0.843,4586,81,0.929,0.056
79,Attrited Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,44,3,3,2,1438.3,0,1438.3,0.736,2054,46,0.586,0
80,Attrited Customer,50,M,2,Graduate,Single,$80K - $120K,Silver,40,3,4,6,34516,0,34516,0.801,7661,79,1.079,0
81,Existing Customer,49,F,4,Unknown,Divorced,Less than $40K,Blue,45,3,3,3,1757,1307,450,0.769,4750,72,0.756,0.744
82,Existing Customer,44,M,4,Uneducated,Unknown,$40K - $60K,Silver,40,1,1,2,18072,1378,16694,0.73,8199,98,0.75,0.076
83,Existing Customer,45,M,2,Graduate,Married,$120K +,Blue,41,4,3,1,16453,1660,14793,0.629,14762,108,0.742,0.101
84,Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,34,3,3,2,2450,1981,469,0.712,4352,66,0.784,0.809
85,Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,54,6,2,4,31680,1812,29868,0.483,1121,25,0.562,0.057
86,Existing Customer,48,M,2,Unknown,Unknown,$60K - $80K,Blue,44,4,3,3,8904,1886,7018,0.945,3654,65,0.757,0.212
87,Attrited Customer,46,F,2,Unknown,Married,Less than $40K,Blue,42,1,0,4,2002,0,2002,0.803,2423,39,0.857,0
88,Existing Customer,46,F,4,Graduate,Single,Unknown,Blue,42,4,0,3,13376,1633,11743,0.98,4515,63,1.172,0.122
89,Existing Customer,36,M,1,Graduate,Married,$80K - $120K,Blue,32,4,4,3,15488,1463,14025,1.28,2916,50,0.724,0.094
90,Existing Customer,35,F,2,Unknown,Divorced,Unknown,Blue,31,2,2,2,19033,1555,17478,1.001,16033,116,0.812,0.082
91,Existing Customer,49,F,4,Uneducated,Unknown,Less than $40K,Blue,45,1,3,1,5975,2045,3930,0.847,13090,102,0.672,0.342
92,Existing Customer,39,M,1,Post-Graduate,Single,$40K - $60K,Blue,35,5,1,1,2623,2121,502,0.722,4078,70,0.795,0.809
93,Existing Customer,53,F,2,Graduate,Single,Unknown,Blue,49,4,2,3,6074,0,6074,0.697,4303,77,0.674,0
94,Existing Customer,39,F,1,Uneducated,Single,Less than $40K,Blue,35,1,5,1,1961,0,1961,0.631,4846,92,0.84,0
95,Existing Customer,52,F,3,High School,Married,Less than $40K,Blue,48,4,2,2,3136,1103,2033,0.812,4528,81,0.884,0.352
96,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,47,5,2,3,3069,2517,552,0.73,4512,83,0.766,0.82
97,Existing Customer,49,M,3,High School,Single,$120K +,Blue,45,3,2,2,14699,1049,13650,0.534,4890,64,0.561,0.071
98,Existing Customer,49,M,2,Graduate,Single,$60K - $80K,Gold,45,2,3,1,34516,913,33603,0.698,7711,80,0.86,0.026
99,Existing Customer,55,F,0,Uneducated,Married,Less than $40K,Blue,51,4,3,1,2041,1885,156,0.587,2118,48,0.778,0.924
100,Existing Customer,47,M,4,Uneducated,Married,$60K - $80K,Blue,43,4,3,1,6519,1525,4994,0.874,4495,81,1.025,0.234
101,Existing Customer,39,F,2,Graduate,Single,Unknown,Silver,35,1,3,3,32089,1971,30118,0.671,13796,121,0.833,0.061
102,Existing Customer,40,F,4,High School,Single,Less than $40K,Blue,36,5,5,3,2932,1664,1268,0.612,4795,82,0.708,0.568
103,Existing Customer,44,F,3,Doctorate,Married,Unknown,Blue,40,2,1,1,7212,1008,6204,0.727,5169,82,0.745,0.14
104,Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,32,2,3,2,3277,0,3277,0.84,14252,127,0.649,0
105,Existing Customer,42,M,3,Unknown,Single,$60K - $80K,Blue,38,5,1,1,6318,1397,4921,0.517,4166,86,0.755,0.221
106,Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,41,6,3,3,9106,2477,6629,0.515,1239,33,0.737,0.272
107,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,3,3,9235,1479,7756,0.843,1537,49,0.581,0.16
108,Existing Customer,46,F,3,High School,Married,$40K - $60K,Blue,42,2,2,1,10901,1874,9027,0.608,7498,90,0.5,0.172
109,Existing Customer,49,F,3,High School,Married,Less than $40K,Blue,45,3,3,0,1638,1038,600,0.718,4150,70,0.591,0.634
110,Existing Customer,36,M,2,High School,Single,$40K - $60K,Blue,32,3,5,2,2683,1533,1150,0.821,2373,73,0.659,0.571
111,Existing Customer,42,M,3,High School,Unknown,$60K - $80K,Blue,38,5,1,2,10239,510,9729,0.344,1228,26,0.529,0.05
112,Existing Customer,51,F,0,Unknown,Divorced,Less than $40K,Blue,47,6,4,3,3049,1151,1898,0.533,4027,76,0.52,0.378
113,Existing Customer,59,F,0,College,Single,Less than $40K,Blue,55,2,2,3,2645,1127,1518,0.623,4251,76,0.767,0.426
114,Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,50,4,2,3,9519,1936,7583,0.929,2489,62,1,0.203
115,Existing Customer,32,F,1,Graduate,Single,Less than $40K,Blue,28,6,3,3,2428,1027,1401,0.824,3007,84,0.867,0.423
116,Attrited Customer,35,F,3,Graduate,Single,Less than $40K,Blue,31,1,3,4,1678,0,1678,0.676,2475,61,0.694,0
117,Existing Customer,58,F,3,Post-Graduate,Single,Less than $40K,Blue,54,4,2,3,8886,0,8886,0.694,4148,79,0.756,0
118,Existing Customer,53,F,2,High School,Single,Less than $40K,Blue,49,1,2,3,9678,1710,7968,0.745,7682,90,0.579,0.177
119,Existing Customer,34,F,2,Unknown,Divorced,Less than $40K,Blue,30,3,1,2,4408,1510,2898,0.73,4495,77,0.833,0.343
120,Existing Customer,31,F,1,College,Divorced,Unknown,Blue,27,4,6,3,3647,1480,2167,0.76,2271,60,0.364,0.406
121,Existing Customer,38,M,2,Unknown,Married,$80K - $120K,Blue,34,4,1,3,19259,2266,16993,0.92,1388,27,0.929,0.118
122,Existing Customer,43,F,5,Uneducated,Single,Less than $40K,Blue,39,3,2,4,3161,2424,737,0.617,4307,66,0.784,0.767
123,Existing Customer,56,M,2,High School,Unknown,$120K +,Blue,52,6,2,2,23362,1453,21909,0.848,15399,116,0.841,0.062
124,Existing Customer,58,M,3,Graduate,Married,$80K - $120K,Blue,54,4,3,3,18713,1022,17691,0.682,1524,42,0.615,0.055
125,Existing Customer,48,M,2,High School,Married,$80K - $120K,Blue,44,5,1,2,11332,1647,9685,0.542,4674,72,0.714,0.145
126,Existing Customer,43,M,2,High School,Married,$80K - $120K,Silver,39,3,1,3,34516,1987,32529,0.673,16177,122,0.848,0.058
127,Attrited Customer,52,M,3,Uneducated,Single,$120K +,Blue,48,5,3,4,20974,0,20974,0,1246,27,0,0
128,Existing Customer,48,M,4,Post-Graduate,Unknown,$40K - $60K,Blue,44,6,2,4,6710,1942,4768,0.777,1727,37,0.85,0.289
129,Existing Customer,52,F,2,Uneducated,Married,Less than $40K,Blue,48,3,2,4,5299,578,4721,0.931,4509,79,0.717,0.109
130,Existing Customer,49,M,3,Unknown,Single,$60K - $80K,Blue,45,1,1,1,2122,1101,1021,0.711,7404,103,0.515,0.519
131,Existing Customer,38,F,3,Graduate,Married,Less than $40K,Blue,34,5,1,0,3402,1813,1589,0.653,1767,28,0.647,0.533
132,Existing Customer,51,M,4,Unknown,Married,$80K - $120K,Blue,47,4,3,2,3861,622,3239,0.794,4816,81,0.976,0.161
133,Attrited Customer,53,F,2,College,Single,Unknown,Blue,49,2,2,4,10195,0,10195,0.629,2489,54,0.385,0
134,Existing Customer,39,M,4,Graduate,Married,$80K - $120K,Blue,35,6,2,1,2981,757,2224,0.764,4824,76,0.81,0.254
135,Existing Customer,52,M,2,Unknown,Married,$80K - $120K,Silver,48,6,6,1,34516,1473,33043,0.642,4254,73,0.587,0.043
136,Existing Customer,39,F,1,Unknown,Single,Less than $40K,Platinum,35,1,2,3,15987,1494,14493,0.731,8438,92,0.84,0.093
137,Existing Customer,53,M,2,Unknown,Married,$120K +,Blue,49,6,2,3,3386,1984,1402,0.573,1318,37,0.194,0.586
138,Existing Customer,47,F,1,High School,Married,Unknown,Blue,43,4,2,2,1828,1517,311,0.661,4542,82,0.577,0.83
139,Existing Customer,44,M,3,Graduate,Single,$40K - $60K,Blue,40,1,3,1,9199,1230,7969,0.591,15367,123,0.685,0.134
140,Existing Customer,41,M,3,Graduate,Single,$40K - $60K,Blue,37,3,3,2,7839,1544,6295,0.715,7904,83,0.804,0.197
141,Existing Customer,58,M,1,Uneducated,Single,$80K - $120K,Blue,54,1,3,1,5182,1459,3723,0.72,7960,112,0.697,0.282
142,Existing Customer,49,F,2,High School,Married,Less than $40K,Blue,45,6,2,5,8353,1535,6818,1.323,4200,83,0.804,0.184
143,Existing Customer,42,M,4,Uneducated,Married,$40K - $60K,Blue,38,1,4,1,2444,0,2444,0.788,4220,50,1.174,0
144,Existing Customer,53,F,2,Doctorate,Single,Unknown,Blue,49,3,2,2,4500,0,4500,0.761,4579,78,0.814,0
145,Existing Customer,46,M,3,Graduate,Married,$120K +,Blue,42,3,3,4,9227,938,8289,0.735,3948,74,0.721,0.102
146,Attrited Customer,54,M,2,Uneducated,Single,$40K - $60K,Blue,50,2,1,3,3682,2517,1165,0.379,1642,35,0.25,0.684
147,Existing Customer,43,F,4,College,Unknown,$40K - $60K,Blue,39,4,1,3,1438.3,0,1438.3,0.68,4528,83,1.128,0
148,Existing Customer,39,M,2,College,Married,$60K - $80K,Blue,35,4,3,2,7410,2517,4893,1.924,2398,37,1.176,0.34
149,Existing Customer,62,F,0,Graduate,Divorced,Less than $40K,Blue,56,3,1,1,2230,1716,514,0.811,4027,75,0.5,0.77
150,Existing Customer,44,F,4,High School,Single,Less than $40K,Blue,40,2,1,2,1438.3,1169,269.3,0.558,4429,78,0.529,0.813
151,Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,40,2,2,1,1438.3,0,1438.3,0.773,4625,93,0.938,0
152,Existing Customer,43,F,2,Uneducated,Unknown,Less than $40K,Blue,39,5,3,3,2734,2517,217,0.7,4457,86,0.955,0.921
153,Existing Customer,44,F,3,College,Single,Unknown,Blue,40,2,1,3,3269,0,3269,0.797,5022,85,0.771,0
154,Attrited Customer,53,F,4,Graduate,Married,Unknown,Blue,49,5,5,4,10533,330,10203,0.823,2585,48,0.714,0.031
155,Existing Customer,39,F,3,Uneducated,Single,Unknown,Silver,35,2,2,3,33565,1627,31938,0.66,8360,94,0.843,0.048
156,Existing Customer,45,M,2,Uneducated,Unknown,$80K - $120K,Blue,41,6,2,2,23271,1262,22009,0.718,1402,34,0.889,0.054
157,Existing Customer,50,F,1,Unknown,Single,Less than $40K,Blue,46,4,2,3,2081,1235,846,1.485,1337,29,1.071,0.593
158,Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,40,1,1,3,6441,2151,4290,0.64,7123,94,0.492,0.334
159,Existing Customer,44,M,4,High School,Single,$60K - $80K,Blue,40,4,3,2,14370,945,13425,0.557,4510,79,0.646,0.066
160,Existing Customer,52,F,1,Post-Graduate,Single,$40K - $60K,Blue,48,1,5,3,1766,0,1766,0.769,4643,76,0.617,0
161,Existing Customer,34,F,4,High School,Single,Less than $40K,Blue,30,4,1,3,3046,2279,767,0.611,2330,69,0.643,0.748
162,Existing Customer,61,F,0,Graduate,Married,Unknown,Blue,56,4,1,3,5585,1465,4120,1.503,1787,31,0.722,0.262
163,Existing Customer,51,F,1,Graduate,Single,Less than $40K,Blue,47,6,3,4,2469,1491,978,0.869,4351,62,0.632,0.604
164,Existing Customer,65,F,0,College,Divorced,Unknown,Blue,56,5,2,3,13666,0,13666,0.808,3998,70,1,0
165,Existing Customer,32,F,3,Post-Graduate,Married,$40K - $60K,Blue,26,4,3,3,3174,2084,1090,0.636,4508,83,1.075,0.657
166,Attrited Customer,63,M,1,Graduate,Single,$60K - $80K,Blue,56,3,3,2,9569,0,9569,0.94,2287,49,0.581,0
167,Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,49,4,2,4,1520,0,1520,0.566,4256,73,0.622,0
168,Existing Customer,42,F,3,Uneducated,Divorced,Less than $40K,Blue,38,5,2,2,3131,849,2282,0.992,3108,62,0.59,0.271
169,Existing Customer,29,F,2,Graduate,Married,Less than $40K,Blue,25,6,3,2,2732,1746,986,1.028,4702,85,0.771,0.639
170,Existing Customer,41,F,3,College,Single,$40K - $60K,Blue,37,3,3,3,8376,1219,7157,0.644,4015,77,0.75,0.146
171,Existing Customer,44,F,5,Post-Graduate,Married,Less than $40K,Blue,40,3,3,4,4453,973,3480,0.908,3239,66,0.65,0.219
172,Existing Customer,56,F,1,Uneducated,Divorced,Unknown,Blue,52,6,1,2,17561,0,17561,0.94,1608,33,1.2,0
173,Existing Customer,31,M,1,High School,Married,$60K - $80K,Blue,24,2,1,3,4328,1493,2835,0.651,14731,120,0.765,0.345
174,Attrited Customer,45,F,4,College,Single,Less than $40K,Blue,41,6,3,2,3785,2517,1268,0.574,2401,54,0.742,0.665
175,Existing Customer,61,F,0,Graduate,Single,$40K - $60K,Blue,56,4,3,5,7118,813,6305,0.475,3964,66,0.65,0.114
176,Attrited Customer,41,M,4,Uneducated,Married,$80K - $120K,Blue,37,1,2,2,23250,0,23250,0.564,2205,43,0.654,0
177,Existing Customer,61,M,0,Graduate,Married,$80K - $120K,Blue,56,4,2,4,8420,1389,7031,0.522,1114,34,0.545,0.165
178,Existing Customer,50,F,1,Post-Graduate,Married,Unknown,Blue,46,2,2,1,19349,615,18734,0.708,4351,79,0.717,0.032
179,Existing Customer,49,M,3,Uneducated,Married,$80K - $120K,Blue,45,2,1,1,4778,1351,3427,0.785,7590,74,0.682,0.283
180,Existing Customer,46,M,2,High School,Unknown,$60K - $80K,Blue,42,3,3,2,7116,693,6423,0.759,4759,81,0.841,0.097
181,Existing Customer,52,M,3,College,Married,$60K - $80K,Blue,48,5,1,2,1438.3,0,1438.3,0.618,3769,73,0.659,0
182,Attrited Customer,51,M,3,High School,Married,$80K - $120K,Blue,47,2,4,3,4041,0,4041,0.67,8219,84,0.909,0
183,Existing Customer,48,F,4,Uneducated,Single,Unknown,Blue,44,4,3,0,2231,0,2231,0.712,3946,48,1.286,0
184,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412
185,Existing Customer,38,M,1,Graduate,Single,$60K - $80K,Blue,34,5,3,4,23391,1977,21414,0.558,4106,85,0.809,0.085
186,Existing Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,40,6,5,3,1572,874,698,0.947,4996,80,0.739,0.556
187,Existing Customer,26,F,0,Graduate,Single,Less than $40K,Blue,22,3,1,3,1486,0,1486,0.734,4535,82,0.907,0
188,Attrited Customer,50,F,1,Doctorate,Single,Unknown,Blue,46,6,4,3,1970,1477,493,0.662,2493,44,0.571,0.75
189,Existing Customer,65,M,0,High School,Single,Less than $40K,Silver,56,4,2,4,12609,2517,10092,0.833,2121,49,0.531,0.2
190,Existing Customer,43,M,3,College,Unknown,$80K - $120K,Blue,39,3,3,1,24850,1662,23188,0.693,1226,25,0.923,0.067
191,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516,2099,32417,0.629,1233,26,0.857,0.061
192,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,44,5,1,1,19272,1519,17753,0.557,3398,67,0.763,0.079
193,Existing Customer,42,M,1,High School,Divorced,$80K - $120K,Blue,38,4,2,1,11946,1172,10774,0.614,4862,77,0.878,0.098
194,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0
195,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,1,2,3172,2055,1117,0.663,1939,36,0.636,0.648
196,Attrited Customer,52,M,0,Unknown,Single,$120K +,Blue,48,4,5,5,13114,2247,10867,1.003,2474,51,0.417,0.171
197,Attrited Customer,41,F,4,High School,Divorced,$40K - $60K,Blue,37,3,2,3,4650,204,4446,0.685,2014,54,0.8,0.044
198,Existing Customer,40,F,2,Unknown,Married,Unknown,Blue,28,5,5,2,14999,1123,13876,0.539,3441,69,0.468,0.075
199,Existing Customer,53,M,2,High School,Single,$60K - $80K,Blue,49,2,3,2,4142,2252,1890,0.714,15078,117,0.746,0.544
200,Attrited Customer,41,M,3,Graduate,Single,$80K - $120K,Blue,37,3,3,3,19402,0,19402,0.58,1937,51,0.594,0
201,Attrited Customer,48,M,4,Unknown,Single,$40K - $60K,Blue,43,2,3,2,11272,1744,9528,0.347,1455,34,0.214,0.155
